item              ,weight,value
passport          ,100   ,5000
money             ,50    ,5000
water bottle      ,400   ,700
chapstick         ,100   ,1000
phone             ,300   ,1500
laptop            ,1000  ,1200
laptop charger    ,300   ,5000
sunglasses        ,100   ,300
first aid         ,300   ,1500
watch             ,100   ,800
lunch box         ,100   ,600
tablet            ,400   ,300
sandwich          ,100   ,700
snacks            ,100   ,1000
underwear         ,200   ,1300
camera            ,700   ,400
slepping bag      ,1000  ,1500
camera charger    ,300   ,800
map               ,100   ,1500
phone charger     ,300   ,1500
toothbrush        ,100   ,600
toothpaste        ,100   ,600
shower gel        ,100   ,600
towel             ,100   ,600
soap              ,100   ,600
hair gel          ,100   ,600
umbrella          ,100   ,700
headphones        ,100   ,600
book              ,100   ,700
pen               ,100   ,500
lunch box         ,100   ,600
compass           ,100   ,900
knife             ,100   ,900
torch             ,100   ,900
firewood          ,100   ,400
sandwich          ,100   ,500
emergency whistle ,100   ,600
waterproof bag    ,100   ,1000
waterproof clothes,100   ,1000
snacks            ,100   ,1000
travel pilows     ,100   ,800
guidebook         ,100   ,750
clothes to sleep  ,100   ,1300
waterproof shoes  ,100   ,1300
waterproof socks  ,100   ,1300
waterproof jacket ,100   ,1300
waterproof pants  ,100   ,1300
waterproof shorts ,100   ,800
waterproof hat    ,100   ,900
waterproof gloves ,100   ,1000
hair brush        ,100   ,1500
hair dryer        ,100   ,1500
hair straightener ,100   ,1500
hair curler       ,100   ,1500
hair spray        ,100   ,1500
hair gel          ,100   ,1500
hair wax          ,100   ,1500
hair mousse       ,100   ,1500
hair conditioner  ,100   ,1500
4500
